Employee ID,Name,Work Hours/Week,Meeting Hours/Week,Email Response Time (min),Employee Satisfaction (1-10),Sick Days (per year),Years at Company,Training Hours Completed,Performance Rating (1-10)
E072,Mitzy Segura,32.2,8.4,19.9,8.3,1,13,23.8,8.6
E073,George Castillo,39.7,6.8,29.7,8.9,2,7,17.9,7.6
E074,Valerie Lewis,45.6,8.9,28.5,8,3,20,14.3,7.5
E075,Diane Moore,41.5,9.5,44.9,7.7,4,17,17.7,7.1
E076,Kimberly Padilla,43.4,11.7,30.9,8.2,1,3,26.3,9.4
E077,Gordon Clark,28.1,8.2,38.1,8.9,3,5,17.3,8.2
E078,Amy Hudson,43,16.8,35.5,6.6,0,19,21.8,8.6
E079,Christian Roman,36.2,8.9,43.6,8.9,4,12,16.3,7.7
E080,Caleb Hall,41.5,13.5,27.6,7.3,3,7,23.8,8.8
E081,Stephanie Pacheco,39.9,1,48.7,9.9,3,9,23.4,8
E082,Priscilla Thompson,51.4,12,10.1,8.3,2,6,29.2,10
E083,Erika Mason,42.7,7.5,38.6,8.6,0,17,19.1,9.7
E084,Jill Fields,39.4,2.2,21.3,9.8,0,16,23.3,9.2
E085,Christopher Davis,32.5,9.3,25.1,8.1,0,3,20.5,8.8
E086,April Robertson,40.6,7.1,35.7,8.6,1,4,26.5,10
E087,Juan Anderson,44.1,9.7,35.6,8.2,2,10,16.4,6.8
E088,Mark Williams,39.6,11,36.1,7.7,1,5,23.7,10
E089,John Smith,37.5,3.5,16.1,9.3,3,10,19,8.5
E090,David Sanchez,37.1,11,44.5,7.3,1,12,19.7,9.7
E091,Jonathan Robinson,42.7,8,21,8.3,2,10,20.5,8
E092,Amy Mcdonald,43.8,12.1,22.3,7.7,0,13,21.3,10
E093,Richard Taylor,46.8,7.4,36.4,8.6,0,11,19.4,9
E094,Riccardo Galli,35,6.6,27.1,8.7,2,16,21.1,9.2
E095,Vanessa Davidson,42.6,8.1,33.1,8.5,1,8,27.9,10
E096,Danielle Reyes,39.4,8.3,8.4,8.8,1,8,24.9,9.3
E097,Zeferino Alva,39.5,6,32.8,9.4,0,8,24.3,10
E098,Mia Wagner,42,6.5,32.2,8.5,0,13,17.7,8.2
E099,Sergio Tejada,42,4.3,24.9,8.6,3,2,15.6,6
E100,Edward Wilson,42.6,6.7,9.3,8.3,3,12,24.8,8.6
E101,Pamela Harris,34.7,10,27.9,8,0,10,24.4,9.2
E102,Leah Stewart,36.3,7.6,29.6,8.5,0,12,27.4,10
E103,Zachary Watson,47.4,11,26.3,7.7,3,11,17,7.9
E104,Tyler Bennett,38.9,7.4,11.6,8,0,15,18.9,9.2
E105,Hannah Weber,41.5,3.7,45.9,9.1,5,16,11.8,5.3
E106,Stefano Rizzo,45.3,9.8,23.6,8.3,3,17,18,8.2
E107,Sandra Bryant,42.3,6,27.8,9.2,2,2,25,8
E108,Antoine Dubois,42.7,7.3,5.9,8.4,4,18,17.7,8.6
E109,Kayla Gonzalez,44.5,11.7,45.9,7.7,0,12,23.2,9.1
E110,Thomas Bailey,29.4,4.5,25.3,8.7,2,19,19,8.6
E111,Dylan Miller,37.6,8.5,31,8.5,2,18,21.6,8.1
E112,Tiffany Moore,42.3,7.9,41.2,8.2,2,17,14.3,8.4
E113,Irma Arias,46.9,10.1,23.2,8.5,1,6,20.4,9.4
E114,Fabiola Olivas,40.3,10.6,39.6,7.2,3,15,5,6
E115,Sherri Johnson,35.8,8.8,9.4,8.2,2,3,19.1,8.2
E116,Kimberly Martin,35.9,6.9,35.5,8.9,1,6,11.8,7.3
E117,Jesse Garcia,44.4,9.4,45.7,8.4,2,3,26,9.1
E118,Allison Ortiz,38.9,12,24.2,9.2,0,1,23.9,10
E119,Laurie Jacobs,40,7.9,41.2,8.8,1,13,22.3,10
E120,Dimitri Johnson,43.1,7.2,48.3,8.2,1,14,27.6,10
E121,Lydia Anderson,25.5,9.2,27.5,8.3,3,13,15.3,7
E122,Jason Henderson,50,8.1,26.6,7.7,0,4,28.7,10
E123,Marco Antonio CintrÃ³n,36.3,4,21,9.2,1,7,24.7,8.4
E124,Abelardo Prado,41.2,8.7,24.9,8,1,10,18.8,8.7
E125,Rebecca Ellison,31.5,4,21.8,9.7,1,7,25.7,10
E126,Jeffrey Brown,37.9,9.1,21,8.1,6,15,14.5,5.9
E127,Kelly Evans,46.2,5.6,42,8.9,3,15,15.9,6.7
E128,Johanna Koch,30.4,8.1,22.1,8.2,2,4,17,7.7
E129,Eva Wolf,45.6,9.2,32.6,9.2,1,6,17.4,7.7
E130,Erica Summers,38.6,15.4,30.4,7.1,5,20,14.7,6.5
E131,Susan Georges,42.4,10.2,45,9.1,1,5,26.1,10
E132,Michael Miller,43.3,12.1,25,8.2,4,20,18.7,8.4
E133,Joseph Fox,42.2,13.6,33.8,7.8,0,12,21.8,8.7
E134,Gilbert Wagner,35.7,9.5,37.9,8.5,2,1,17.1,7.3
E135,Matteo Conti,38.2,8.9,44.9,8.6,3,8,10.9,7.5
E136,William Roberts,32.7,4.8,24.8,8.2,1,1,21.4,10
E137,Crystal Solis,42.5,7.7,23.8,8.5,4,5,10.4,6.2
E138,Jeffrey Browning,48.5,5.8,19.4,9.4,1,6,19.7,7.9
E139,Antoine Michaud,30.9,6.8,52.4,8.8,3,3,13.2,7.5
E140,Angela Chen,36.2,13.6,43.8,6.9,1,15,29.9,10
E141,Alberto Salas,39.1,8.3,29.6,8.5,0,5,24.6,9.3
E142,Hugo Petit,40.9,5.4,49.3,9.9,2,14,20.5,9.2
E143,Yves Caron,44.4,12.1,29,8.5,3,18,26.3,8.2
E144,Christopher Mullen,39.2,10.9,37.2,8,1,16,15.8,8.7
E145,Jill Peters,38.4,11,30.1,8.5,1,6,22.7,9.1
E146,Emma Fischer,45.5,2,34,9.5,2,14,21,8.4
E147,Ricardo Nehmeh,43.3,13.8,32.9,6.7,0,8,21.3,8.7
E148,Jules Fontaine,42.7,6.3,25.8,8.4,0,7,26.4,9.7
E149,Anthony Garcia,40.6,10.3,40.9,8.9,0,8,23.7,7.8
E150,Ariana Johnson,44.9,15.6,37.2,7.1,1,13,21.4,10
